sample	cutadapt_total_processed	cutadapt_reverse_complemented	cutadapt_passing_filters	cutadapt_passing_filters_percent
Adobera_artesanal	27,270		27,145	99.5%
Adobera_mesa	69,103		68,901	99.7%
Adobera_pasteurizada	3,839		3,803	99.1%
Asadero	10,919		10,887	99.7%
Canasto	6,141		6,101	99.3%
Chiapas	57,532		57,404	99.8%
Chihuahua	68,543		68,212	99.5%
Cincho	42,712		42,211	98.8%
Cotija	48,779		48,590	99.6%
Jocoque	83,900		83,642	99.7%
Manchego	26,384		26,225	99.4%
Oaxaca	56,509		56,397	99.8%
Panela_artesanal	56,460		56,288	99.7%
Panela_pasteurizado	12,312		12,219	99.2%
Ranchero_Estado_de_Mexico	64,610		64,397	99.7%
Ranchero_Veracruz	59,447		59,210	99.6%
Zacatecas	41,924		41,776	99.6%
